,no-people,people
566,19.757,23.43
567,19.57,21.728
568,21.726,16.32
569,21.228,20.843
570,18.434,19.839
571,19.139,17.374
572,19.689,17.473
573,17.972,20.335
574,19.259,18.018
575,20.655,19.159
576,19.399,16.36
577,18.293,18.33
578,17.378,19.734
579,17.812,18.437
580,16.153,18.299
581,17.657,18.487
582,17.93,18.173
583,18.595,17.098
584,17.324,19.39
585,20.474,17.112
586,20.066,17.246
587,19.719,17.267
588,19.243,18.084
589,17.216,17.61
590,17.798,16.665
591,19.484,17.508
592,19.882,16.38
593,20.177,16.982
594,17.654,17.044
595,18.01,19.007
596,18.288,16.692
597,18.075,18.406
598,18.827,20.373
599,18.732,18.106
600,19.535,19.875
601,16.522,17.847
602,18.846,15.988
603,17.302,18.013
604,19.082,18.504
605,18.519,18.381
606,18.96,16.165
607,18.542,18.582
608,18.631,15.412
609,19.221,18.729
610,16.985,16.138
611,18.944,16.653
612,18.931,17.341
613,18.295,16.983
614,15.753,20.685
615,18.45,15.483
616,19.664,17.386
617,18.492,18.49
618,19.363,18.202
619,18.597,18.612
620,20.507,18.505
621,19.218,15.961
622,16.619,18.429
623,16.498,19.385
624,19.444,17.931
625,17.908,19.145
626,18.395,16.572
627,19.039,15.468
628,18.381,17.722
629,16.96,20.123
630,20.111,16.171
631,17.595,20.098
632,19.085,17.473
633,19.823,18.182
634,16.751,18.373
635,19.572,20.077
636,19.949,17.134
637,18.367,17.566
638,18.085,19.841
639,18.033,18.679
640,16.967,17.602
641,18.967,17.23
642,20.625,16.985
643,18.515,17.072
644,18.862,18.447
645,17.922,20.456
646,17.521,16.826
647,19.35,17.157
648,17.478,16.914
649,16.786,18.281
650,19.676,15.536
651,19.992,18.253
652,16.804,19.209
653,17.103,17.596
654,17.97,16.422
655,19.321,20.122
656,16.849,17.545
657,19.456,18.977
658,18.733,15.501
659,19.743,18.87
660,19.057,19.66
661,19.317,17.207
662,18.728,15.502
663,16.619,18.383
664,18.96,17.319
665,19.762,17.832
666,19.76,18.794
667,17.766,18.309
668,17.772,13.9
669,18.674,17.799
670,17.94,19.302
671,16.334,20.151
672,18.066,19.627
673,16.79,18.346
674,19.317,20.345
675,16.737,18.711
676,14.695,18.445
677,19.578,18.497
678,19.451,17.29
679,16.788,20.373
680,20.118,17.858
681,18.095,18.935
682,16.708,19.177
683,16.597,19.256
684,19.384,18.774
685,17.795,19.561
686,18.183,20.099
687,19.758,19.442
688,17.18,18.597
689,19.988,19.55
690,15.657,19.679
691,18.531,17.483
692,19.879,20.003
693,17.602,19.555
694,19.474,19.168
695,17.049,20.261
696,19.647,17.982
697,19.741,17.522
698,18.167,19.91
699,17.173,17.321
700,17.505,18.931
701,16.536,17.02
702,17.263,18.853
703,19.75,20.558
704,18.741,19.022
705,17.507,17.116
706,17.453,17.637
707,17.288,17.599
708,18.97,16.557
709,18.654,18.26
710,18.931,15.578
711,18.554,17.618
712,19.677,16.422
713,20.127,18.957
714,17.311,18.329
715,19.87,16.351
716,19.469,19.128
717,18.884,17.463
718,18.843,19.702
719,18.8,21.586
720,17.035,19.846
721,18.817,18.513
722,17.156,20.938
723,18.869,17.883
724,18.804,20.4
725,17.977,22.073
726,17.048,16.725
727,19.272,16.233
728,19.081,18.677
729,18.693,20.16
730,16.974,17.251
731,18.252,16.215
732,20.262,17.188
733,17.841,15.024
734,19.515,20.446
735,17.217,18.191
736,17.762,16.035
737,17.309,18.651
738,20.215,17.031
739,20.001,18.319
740,19.154,15.619
741,19.914,15.718
742,18.664,18.041
743,16.241,18.522
744,17.982,17.573
745,18.925,18.325
746,17.71,16.765
747,17.585,21.896
748,18.022,18.96
749,18.683,19.529
750,17.301,17.782
751,17.172,19.368
752,17.525,19.37
753,17.862,20.143
754,18.181,20.566
755,18,21.311
756,20.446,18.022
757,18.158,21.723
758,16.063,21.664
759,17.422,17.183
760,17.507,21.065
761,20.228,21.806
762,17.878,17.701
763,14.053,18.35
764,18.771,16.076
765,18.973,18.16
766,17.274,17.175
767,19.835,15.109
768,17.566,19.201
769,19.861,15.942
770,18.08,19.304
771,17.742,18.104
772,18.691,21.21
773,18.423,18.555
774,18.643,18.62
775,19.066,18.141
776,17.73,18.387
777,19.379,16.954
778,18.847,20.101
779,15.519,18.964
780,19.053,18.396
781,19.415,18.518
782,19.707,17.89
783,16.007,20.282
784,17.942,19.963
785,17.258,19.955
786,18.583,18.553
787,16.571,19.526
788,18.107,21.47
789,18.934,20.789
790,17.422,20.141
791,19.321,19.077
792,16.481,21.265
793,16.94,21.666
794,18.093,20.191
795,18.578,19.235
796,16.559,21.094
797,18.873,19.748
798,16.904,19.877
799,18.966,19.375
800,18.644,18.129
801,19.1,20.75
802,15.599,20.13
803,17.204,20.142
804,15.568,18.249
805,15.677,19.254
806,16.201,20.078
807,16.964,23.107
808,18.992,20.21
809,19.069,19.971
810,18.067,19.166
811,18.905,21.111
812,18.061,16.686
813,19.79,18.986
814,16.986,19.007
815,15.959,19.998
816,15.969,21.759
817,17.097,18.814
818,17.95,19.517
819,18.779,19.645
820,20.763,21.17
821,21.262,17.461
822,17.711,20.019
823,16.498,18.086
824,19.276,23.202
825,16.857,19.846
826,16.877,18.415
827,17.785,20.193
828,16.873,21.096
829,17.581,18.866
830,18.343,19.621
831,19.521,21.597
832,17.715,19.89
833,19.33,17.437
834,17.814,17.64
835,18.74,16.292
836,16.032,17.059
837,16.078,14.809
838,17.872,18.086
839,19.148,18.288
840,16.928,17.056
841,19.049,17.779
842,19.741,18.795
843,18.619,17.85
844,17.348,19.437
845,18.834,18.782
846,16.601,18.007
847,20.009,18.401
848,19.416,17.402
849,16.891,20.136
850,18.082,21.164
851,17.15,21.132
852,18.363,19.012
853,17.599,16.92
854,17.458,16.693
855,15.973,19.651
856,18.565,21.619
857,17.552,19.663
858,18.525,17.642
859,20.942,21.596
860,17.632,19.339
861,20.709,19.356
862,16.034,18.356
863,20.488,17.929
864,16.877,18.125
865,18.688,18.963
866,17.387,18.423
867,16.743,18.136
868,19.01,18.197
869,18.914,21.172
870,18.508,18.706
871,18.587,19.17
872,19.364,19.092
873,19.415,18.544
874,19.578,17.918
875,17.969,15.536
876,19.03,20.353
877,18.317,18.442
878,18.479,16.162
879,19.062,18.895
880,19.279,18.328
881,18.836,19.354
882,18.254,17.752
883,16.988,20.743
884,16.318,19.219
885,17.088,18.168
886,20.061,18.651
887,20.236,21.016
888,18.939,22.007
889,19.086,17.685
890,16.693,20.015
891,15.972,18.059
892,18.678,17.716
893,19.045,20.053
894,15.973,14.837
895,19.15,14.803
896,19.357,15.187
897,19.195,15.436
898,18.025,18.075
899,18.937,15.992
900,19.78,20.084
901,17.215,14.61
902,18.723,18.848
903,17.921,15.947
904,16.813,14.445
905,17.886,16.133
906,18.538,16.187
907,19.323,17.434
908,19.072,16.612
909,16.813,16.616
910,20.655,15.78
911,19.018,16.8
912,17.879,17.599
913,18.561,16.284
914,18.186,20.697
915,18.489,19.729
916,15.981,20.865
917,16.415,19.968
918,18.995,18.478
919,17.938,19.528
920,17.235,22.642
921,17.434,19.711
922,17.844,19.12
923,18.003,18.219
924,15.83,21.41
925,16.778,19.478
926,18.146,19.255
927,19.103,19.111
928,16.784,19.679
929,16.133,19.618
930,17.988,20.275
931,17.888,18.52
932,17.694,21.243
933,17.628,20.898
934,17.954,22.597
935,16.717,20.484
936,16.913,19.534
937,17.839,20.113
938,18.992,20.966
939,19.186,24.966
940,18.125,19.564
941,17.862,20.67
942,19.004,16.349
943,18.487,20.526
944,18.655,19.022
945,16.789,20.163
946,21.858,18.06
947,17.093,18.475
948,17.288,18.615
949,16.354,19.752
950,17.585,19.625
951,21.351,18.506
952,17.882,21.208
953,15.799,23.964
954,21.435,21.816
955,16.499,18.971
956,17.827,20.215
957,17.47,19.269
958,18.712,20.159
959,18.208,20.307
960,21.921,17.884
961,18.885,19.753
962,18.451,20.159
963,17.629,18.004
964,18.811,18.255
965,19.573,19.555
966,20.249,17.154
967,17.965,21.347
968,18.935,19.805
969,16.735,20.991
970,17.747,16.525
971,20.683,21.49
972,17.017,20.298
973,19.067,19.43
974,17.441,17.682
975,18.745,22.641
976,18.094,20.567
977,19.679,19.718
978,19.236,22.471
979,16.595,20.686
980,20.263,19.774
981,18.799,19.798
982,18.392,17.746
983,20.308,16.627
984,16.704,19.527
985,16.849,20.403
986,17.388,18.699
987,16.809,17.501
988,17.671,17.563
989,18.73,20.457
990,18.116,19.111
991,19.139,19.172
992,16.761,17.925
993,18.848,20.825
994,18.27,22.169
995,17.798,18.994
996,17.771,20.945
997,18.654,21.09
998,16.062,19.889
999,17.365,19.103
1000,17.713,18.245
1001,18.805,18.188
1002,17.87,21.766
1003,16.427,17.197
1004,15.874,19.598
1005,16.026,18.314
1006,17.792,19.907
1007,17.662,12.827
1008,19.341,18.54
1009,18.431,18.559
1010,18.252,16.754
1011,19.908,17.915
1012,18.162,17.874
1013,19.115,21.775
1014,17.493,21.45
1015,17.283,21.632
1016,17.775,20.45
1017,19.808,20.026
1018,19.334,19.068
1019,17.852,18.777
1020,20.462,18.79
1021,20.114,18.303
1022,17.221,18.856
1023,19.566,16.474
1024,17.109,17.443
1025,19.354,20.817
1026,16.043,21.302
1027,18.295,19.224
1028,18.686,17.757
1029,19.506,20.887
1030,16.613,18.021
1031,21.707,15.739
1032,21.202,19.198
1033,18.975,16.182
1034,18.193,19.441
1035,16.336,16.985
1036,18.178,15.502
1037,18.202,14.592
1038,19.952,17.3
1039,19.045,16.407
1040,14.831,19.103
1041,17.406,18.367
1042,18.1,20.546
1043,18.131,17.178
1044,20.076,16.963
1045,19.81,16.709
1046,19.366,18.727
1047,20.059,20.429
1048,18.76,19.128
1049,18.339,18.425
1050,17.991,19.062
1051,19.282,18.339
1052,19.191,19.471
1053,19.222,20.819
1054,17.887,21.56
1055,16.745,19.038
1056,18.493,19.32
1057,16.004,19.619
1058,21.587,19.187
1059,21.335,18.58
1060,18.846,17.139
1061,21.553,20.431
1062,19.722,18.608
1063,20.38,18.769
1064,17.928,20.221
1065,18.679,18.876
1066,17.281,17.615
1067,18.481,17.595
1068,19.014,21.317
1069,19.676,16.242
1070,19.741,19.322
1071,17.87,19.941
1072,19.333,17.85
1073,18.684,19.721
1074,19.53,15.632
1075,19.966,20.833
1076,18.888,16.46
1077,18.394,16.224
1078,16.825,19
1079,18.556,18.242
1080,18.305,19.615
1081,19.398,17.159
1082,16.963,16.762
1083,18.009,21.342
1084,17.855,21.028
1085,18.121,18.026
1086,18.165,19.845
1087,18.824,20.689
1088,19.147,18.519
1089,21.716,19.485
1090,16.79,18.772
1091,18.822,20.028
1092,18.777,17.681
1093,18.974,16.766
1094,19.25,16.04
1095,18.77,16.287
1096,17.393,19.245
1097,19.203,19.525
1098,21.466,20.035
1099,19.794,18.919
1100,19.324,17.604
1101,16.31,18.685
1102,18.72,22.413
1103,18.628,18.096
1104,19.475,21.159
1105,17.889,19.074
1106,19.804,20.056
1107,16.008,17.948
1108,18.859,17.117
1109,20.327,19.586
1110,21.381,16.555
1111,16.372,19.838
1112,16.446,20.143
1113,17.998,15.76
1114,18.91,16.429
1115,16.948,18.366
1116,16.597,16.082
1117,19.127,13.166
1118,17.957,15.823
1119,21.457,16.006
1120,19.045,15.115
1121,17.977,16.98
1122,17.869,15.823
1123,18.818,16.539
1124,19.227,15.23
1125,16.144,16.332
1126,18.558,17.169
1127,19.593,17.338
1128,18.754,16.753
1129,18.017,18.983
1130,16.11,16.81
1131,17.932,18.514
1132,18.779,16.759
1133,18.471,17.446
1134,18.716,18.661
1135,17.921,18.4
1136,19.034,18.927
1137,18.505,21.275
1138,17.947,20.934
1139,20.231,19.11
1140,19.098,19.647
1141,18.694,20.572
1142,19.345,18.492
1143,15.736,20.726
1144,21.676,19.506
1145,19.392,19.555
1146,18.176,15.615
1147,18.434,17.192
1148,18.566,20.158
1149,18.485,20.063
1150,21.914,17.868
1151,14.523,16.391
1152,18.227,20.133
1153,17.599,18.927
1154,19.09,17.324
1155,18.292,17.976
